product_id,image_url,image_type,position,alt_text
f10ea07d-b918-4b01-a212-3b9308bc45dd,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/burnt-orange.jpg,gallery,2,Burnt Orange Suspender & Bowtie Set
188a8cb3-120d-41a4-82a0-586390069fce,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/burnt-orange-model.png,primary,1,Burnt Orange Vest & Tie Set
6a6ed003-693b-42fe-b750-11174b1e317a,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/canary-model.png,primary,1,Canary Vest & Tie Set
5531297f-ceeb-415b-a013-7387ef1b2894,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_0.webp,primary,1,Charcoal Grey Executive Suit
5531297f-ceeb-415b-a013-7387ef1b2894,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_1.webp,gallery,2,Charcoal Grey Executive Suit
5531297f-ceeb-415b-a013-7387ef1b2894,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_2.webp,gallery,3,Charcoal Grey Executive Suit
cf1e6f44-bd02-4759-be1d-ecc57b6c90f6,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-slim-fit-charcoal-grey-tuxedo-with-black-satin-lapel_1.0.jpg,primary,1,Charcoal Grey Tuxedo With Black Satin Lapel
8309ecef-685a-45fb-85be-366cfb690e21,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/chocolate-brown-model.png,primary,1,Chocolate Brown Vest & Tie Set
e1b46279-80b5-4302-abc3-5e96974c3c19,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_cinnamon-vest-and-tie-set_1.0.jpg,primary,1,Cinnamon Vest & Tie Set
176a4aff-5e0a-4ad8-bef3-10e7f779d932,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-tuxedos_mens-slim-fit-classic-black-tuxedo-with-satin-notch-lapel_1.0.jpg,primary,1,Classic Black Tuxedo With Satin Notch Lapel
6006bb35-ec1e-4a4d-ba31-86013c648bea,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_0.webp,primary,1,Classic Navy Business Suit
6006bb35-ec1e-4a4d-ba31-86013c648bea,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_1.webp,gallery,2,Classic Navy Business Suit
6006bb35-ec1e-4a4d-ba31-86013c648bea,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_2.webp,gallery,3,Classic Navy Business Suit
f8dd7c77-b2bd-4c41-8a25-694d3c51f2d0,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/coral-model.png,primary,1,Coral Vest & Tie Set
ae12535b-d125-46f3-b448-f72a3c3e9bad,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/dark-burgundy-model.png,primary,1,Dark Burgundy Vest & Tie Set
16a8f7f2-42c2-4b19-bb4c-88c877a96b8b,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_4/nan_dazzling-shiny-silver-tuxedo-with-black-paisley-design-a-showstopper-prom-and-wedding-seasons_2.0.jpg,primary,1,Dazzling Silver Tuxedo With Black Paisley Design
b4613d6c-c63c-4776-b28c-5137e58335f2,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-suspender-bowtie-set/dusty-rose-model.png,primary,1,Dusty Rose Suspender & Bowtie Set
26301fd6-bad6-4aae-ae16-7d31eff0efab,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/dusty-rose-model.png,primary,1,Dusty Rose Vest & Tie Set
62315112-1ebb-45e0-9e8d-16e08fdc281d,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/dusty-sage-model.png,primary,1,Dusty Sage Vest & Tie Set
1c4f32b3-e97d-4dbd-b875-e55b8272e737,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/batch_1/batch_3/mens-suits_mens-slim-fit-emerald-green-tuxedo-with-black-satin-lapel_1.0.png,primary,1,Emerald Green Tuxedo With Black Satin Lapel
d53ab2da-e046-43d0-b1b2-4462d38f95fc,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tie_clean_batch_01/tie_clean_batch_03/bowtie_red-and-black-with-matching-bowtie_1.0.jpg,primary,1,Fuchsia Suspender & Bowtie Set
59b24ee6-4ef6-46da-acf5-ecbb5e1ae127,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/fuchsia-model.png,primary,1,Fuchsia Vest & Tie Set
27ac9c31-4e14-4d2a-be7e-3ac1ef6ef406,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/main-solid-vest-tie/gold-model.png,primary,1,Gold Vest & Tie Set
