product_id,variant_title,price_cents,price_usd,stripe_price_id,stripe_active,sku,0,variant_sku
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Default Size,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 36R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 38R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 40R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 42R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 44R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 46R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 48R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
00c6f33d-13cd-44ee-a3c1-558bac8f4700,Men's Tuxedo Black Geometric Blazer - Prom & Wedding 2025 - 50R,28999.0,$289.99,price_1RpvfvCHc12x7sCzq1jYfG9o,True,BLZ-PRO-BLA-1010,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Default Size,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 15.5/32-33,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 15/32-33,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 16.5/34-35,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 16/34-35,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 17.5/36-37,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
020e2fd8-80e1-449a-a336-dd69d13173ad,Men's Black Slim Fit Mock Neck Dress Shirt - 2025 Collection - 17/34-35,7998.0,$79.98,price_1RvZk0CHc12x7sCzXObY7lRI,True,KCT-SHIRT-3003,,
02ba5b60-8e22-4166-b959-a85b613d0ec7,Default Size,25999.0,$259.99,price_1Rvb1UCHc12x7sCzxi5I4Z3M,True,KCT-SUIT-2037,,
02ba5b60-8e22-4166-b959-a85b613d0ec7,Men's Mint Classic Solid Suit - 2025 Collection - 36R,25999.0,$259.99,price_1Rvb1UCHc12x7sCzxi5I4Z3M,True,KCT-SUIT-2037,,
02ba5b60-8e22-4166-b959-a85b613d0ec7,Men's Mint Classic Solid Suit - 2025 Collection - 38R,25999.0,$259.99,price_1Rvb1UCHc12x7sCzxi5I4Z3M,True,KCT-SUIT-2037,,
02ba5b60-8e22-4166-b959-a85b613d0ec7,Men's Mint Classic Solid Suit - 2025 Collection - 40R,25999.0,$259.99,price_1Rvb1UCHc12x7sCzxi5I4Z3M,True,KCT-SUIT-2037,,
